scale,sample,n,days,start,end,cross_session_lag1_count,roll_transitions,excluded_source_days_between,unobserved_weekdays_between
1min,test,119340,221,2025-01-02,2025-11-28,221,5,9,9
1min,train,132840,246,2024-01-02,2024-12-30,245,6,4,10
5min,test,23868,221,2025-01-02,2025-11-28,221,5,9,9
5min,train,26568,246,2024-01-02,2024-12-30,245,6,4,10
15min,test,7956,221,2025-01-02,2025-11-28,221,5,9,9
15min,train,8856,246,2024-01-02,2024-12-30,245,6,4,10
30min,test,3978,221,2025-01-02,2025-11-28,221,5,9,9
30min,train,4428,246,2024-01-02,2024-12-30,245,6,4,10
60min,test,1989,221,2025-01-02,2025-11-28,221,5,9,9
60min,train,2214,246,2024-01-02,2024-12-30,245,6,4,10
1d,test,221,221,2025-01-02,2025-11-28,221,5,9,9
1d,train,246,246,2024-01-02,2024-12-30,245,6,4,10
